employee_id,age,gender,marital_status,education_level,years_of_experience,job_role,department,job_level,employment_type,work_location,reporting_manager_score,monthly_income,bonus_percentage,stock_option_level,benefits_satisfaction,performance_rating,projects_completed,average_work_hours,absenteeism_days,promotion_last_2yrs,job_satisfaction,work_life_balance,engagement_score,training_hours,internal_mobility,tenure_years,time_since_last_promotion,time_in_current_role,attrition_status
E00001,50,Male,Married,Bachelor,6.6,Engineer,IT,Mid,Full-time,Hybrid,9.4,31966,5.12,High,4,5,8,41.6,7,Yes,3,2,58.85,38,Yes,4.1,52,24,Stayed
E00002,36,Female,Single,PhD,10.6,Engineer,HR,Executive,Contract,Onsite,6.2,117423,26.66,None,1,3,14,46.6,1,No,3,2,62.73,18,No,17.2,10,44,Stayed
E00003,29,Male,Single,Bachelor,19.5,Sales,HR,Senior,Full-time,Remote,3.1,78989,1.15,Low,2,3,1,43.6,7,Yes,1,5,88.44,11,Yes,10.8,11,2,Stayed
E00004,42,Male,Married,High School,11.5,Engineer,IT,Entry,Contract,Onsite,6.2,39548,28.3,Medium,4,2,10,64.1,13,No,5,3,95.3,8,Yes,19.7,48,16,Stayed
E00005,40,Male,Single,Diploma,15.1,Sales,HR,Mid,Contract,Remote,8.8,117025,11.4,None,5,1,6,46.8,9,No,2,5,65.74,46,No,12.9,59,16,Stayed
E00006,44,Male,Married,Diploma,17.5,Analyst,HR,Senior,Contract,Remote,9.9,41068,16.16,Low,4,4,3,32.5,17,No,2,2,43.84,53,Yes,11.5,47,22,Stayed
E00007,32,Male,Married,High School,30.0,Sales,Sales,Executive,Contract,Remote,6.3,142982,22.91,Medium,1,1,10,54.8,17,No,4,4,56.35,92,Yes,18.6,49,16,Stayed
E00008,32,Female,Single,High School,18.6,Manager,HR,Entry,Contract,Onsite,2.4,127526,7.32,Medium,4,4,3,37.9,15,Yes,5,3,73.26,92,Yes,16.1,5,20,Stayed
E00009,45,Male,Single,Bachelor,13.0,Manager,HR,Entry,Contract,Onsite,7.9,28887,3.02,Low,5,3,13,43.5,14,No,4,2,57.62,88,No,8.4,25,14,Stayed
E00010,57,Male,Married,High School,9.0,Engineer,Operations,Senior,Contract,Hybrid,10.0,127627,24.3,High,5,3,11,43.1,6,Yes,5,3,33.45,58,Yes,0.7,11,54,Left
E00011,45,Male,Married,Bachelor,14.6,Sales,IT,Mid,Full-time,Onsite,5.3,59278,29.54,None,2,4,12,32.9,11,No,5,1,64.63,94,Yes,15.2,2,50,Stayed
E00012,24,Female,Single,PhD,18.3,Sales,Operations,Senior,Full-time,Hybrid,4.5,16094,19.76,Medium,5,2,11,68.0,2,No,5,5,89.99,50,Yes,17.4,24,56,Stayed
E00013,43,Female,Married,Diploma,26.2,HR,Finance,Executive,Full-time,Remote,6.0,133695,24.76,High,3,5,7,51.9,0,Yes,2,5,19.59,55,Yes,3.0,40,17,Left
E00014,23,Female,Single,Diploma,4.7,HR,Operations,Mid,Full-time,Hybrid,2.5,85023,28.24,Low,5,5,2,36.2,10,No,4,3,16.38,61,No,18.0,58,53,Stayed
E00015,45,Female,Single,Diploma,8.1,HR,Finance,Executive,Full-time,Onsite,9.7,66447,6.86,None,1,1,10,52.2,2,Yes,1,1,97.76,55,No,17.4,51,22,Stayed
E00016,51,Female,Single,PhD,13.6,Sales,Finance,Entry,Contract,Remote,8.5,36555,10.51,Medium,5,3,4,48.1,0,Yes,1,4,82.3,25,No,0.8,3,16,Stayed
E00017,59,Female,Single,PhD,12.9,Sales,Operations,Entry,Contract,Remote,2.0,105517,6.57,High,2,5,4,43.8,11,Yes,3,4,47.13,89,Yes,14.7,22,12,Stayed
E00018,23,Female,Single,Master,14.0,Manager,Sales,Executive,Contract,Hybrid,9.5,101901,1.85,Low,5,3,2,48.9,11,Yes,2,4,12.6,56,Yes,8.0,55,49,Stayed
E00019,42,Male,Married,Bachelor,27.9,Consultant,Operations,Executive,Full-time,Hybrid,9.5,107166,21.97,High,4,3,10,56.8,19,Yes,1,3,94.03,75,Yes,1.5,0,58,Stayed
E00020,54,Male,Single,Bachelor,11.7,Engineer,IT,Entry,Contract,Onsite,3.8,92497,4.37,Medium,4,3,3,38.0,15,Yes,1,2,81.48,99,No,7.0,3,14,Left
